date_time,amount,method,id
2026-05-27 16:51:33.496584,4100.00,BALANCE,59931
2026-05-27 16:50:32.625676,4100.00,BALANCE,59930
2026-05-27 16:18:08.195357,4100.00,BALANCE,59926
2026-05-27 15:24:22.784329,7100.00,transa,59917
2026-05-27 15:18:49.502571,2870.000,USDT,59915
2026-05-27 15:16:22.094801,4100.00,card,59913
2026-05-27 15:15:38.327275,3000.00,BALANCE,59912
2026-05-27 14:36:09.02217,2600.00,BALANCE,59907
2026-05-27 13:55:27.728395,4100.00,transa,59900
2026-05-27 13:45:09.772922,3100.00,BALANCE,59897
2026-05-27 13:21:30.659738,2600.00,card,59893
2026-05-27 13:20:52.567162,4100.00,BALANCE,59892
2026-05-27 13:19:48.492945,4100.00,BALANCE,59890
2026-05-27 13:03:25.770715,1100.00,BALANCE,59887
2026-05-27 12:59:54.09218,4100.00,BALANCE,59882
2026-05-27 12:55:45.318019,1700.00,BALANCE,59881
2026-05-27 12:52:28.826685,4100.00,BALANCE,59878
2026-05-27 12:31:48.494063,4100.00,BALANCE,59871
2026-05-27 12:31:15.56721,2600.00,BALANCE,59870
2026-05-27 12:13:34.483267,4100.00,BALANCE,59867
2026-05-27 11:59:04.811872,2600.00,BALANCE,59866
2026-05-27 11:50:32.902445,4100.00,transa,59863
2026-05-27 11:48:26.652741,4100.00,card,59860
2026-05-27 11:35:50.216057,2600.00,transa,59858
2026-05-27 11:31:58.256177,1700.00,card,59856
2026-05-27 11:31:50.490753,2600.00,transa,59855
2026-05-27 11:12:25.880937,7100.00,card,59854
2026-05-27 10:03:05.072619,7100.00,transa,59851
2026-05-27 08:54:20.866089,7100.00,transa,59842
2026-05-27 05:02:01.592592,4100.00,transa,59836
2026-05-27 04:16:03.986762,4970.000,USDT,59833
2026-05-27 03:55:24.964586,4100.00,transa,59830
2026-05-27 03:06:17.794527,4100.00,BALANCE,59826
2026-05-27 02:02:04.781015,4100.00,transa,59824
2026-05-27 01:43:50.260629,4100.00,card,59821
2026-05-26 23:15:29.796755,4100.00,transa,59797
2026-05-26 22:53:22.191861,0.00,BALANCE,59795
2026-05-26 22:13:48.054936,7100.00,transa,59782
2026-05-26 21:45:41.697788,4100.00,card,59776
2026-05-26 21:25:46.086891,4100.00,card,59767
2026-05-26 21:06:44.518055,2600.00,BALANCE,59766
2026-05-26 21:00:48.509132,4100.00,BALANCE,59764
2026-05-26 20:53:47.136491,4100.00,transa,59763
2026-05-26 20:53:15.72975,4100.00,BALANCE,59762
